Trx_Rank,Points,Trx_Vlu,Trx_Age,Customer_Age,Category In English,User_Id,Mer_Name
1,20140,2014.0,362,362,Fashion,21053,Shankar Traders
1,11200,1120.0,371,368,Fashion,26472,Shankar Traders
2,8500,850.0,368,368,Fashion,26472,Shankar Traders
1,1980,198.0,558,34,Fashion,27075,Shankar Traders
1,2400,240.0,413,413,Fashion,27417,Shankar Traders
1,16740,1674.0,34,34,F&B,1447,Radha Emporium
1,5820,582.0,33,33,F&B,2709,Radha Emporium
1,4724,472.4,233,233,F&B,3303,Radha Emporium
1,1565,156.5,14,14,F&B,7026,Radha Emporium
1,4165,416.5,27,27,F&B,10231,Radha Emporium
1,9491,949.1,47,47,F&B,10975,Radha Emporium
1,20,2.0,39,1,F&B,13519,Radha Emporium
1,3507,350.7,37,37,F&B,14734,Radha Emporium
1,7580,758.0,5,5,F&B,14823,Radha Emporium
1,5952,595.2,55,55,F&B,16503,Radha Emporium
1,2000,200.0,102,102,F&B,31199,Radha Emporium
1,1400,140.0,419,419,Other,4594,Ganpati Enterprises
1,4000,400.0,306,306,Other,7039,Ganpati Enterprises
1,1200,120.0,503,257,Other,10038,Ganpati Enterprises
2,2680,268.0,419,257,Other,10038,Ganpati Enterprises
1,2350,235.0,13,13,Other,10840,Ganpati Enterprises
1,7200,720.0,328,321,Other,21265,Ganpati Enterprises
2,10800,1080.0,321,321,Other,21265,Ganpati Enterprises
1,1700,170.0,355,355,Other,21702,Ganpati Enterprises
1,20,2.0,356,27,Other,24999,Ganpati Enterprises
1,9400,940.0,29,29,Other,26257,Ganpati Enterprises
1,2350,235.0,41,41,Other,26333,Ganpati Enterprises
2,4700,470.0,41,41,Other,26333,Ganpati Enterprises
1,8000,800.0,334,334,Other,26437,Ganpati Enterprises
1,3600,360.0,262,262,Other,26520,Ganpati Enterprises
1,2000,200.0,454,268,Other,29328,Ganpati Enterprises
1,3700,370.0,304,304,Other,33164,Ganpati Enterprises
1,2388,238.8,300,300,Grocery,7,Saraswati Fabrics
1,3500,350.0,261,258,Grocery,24,Saraswati Fabrics
2,3500,350.0,258,258,Grocery,24,Saraswati Fabrics
1,1967,196.7,225,225,Grocery,38,Saraswati Fabrics
1,4687,468.7,259,259,Grocery,46,Saraswati Fabrics
1,1947,194.7,271,271,Grocery,57,Saraswati Fabrics
1,1600,160.0,311,311,Grocery,59,Saraswati Fabrics
1,2920,292.0,111,111,Grocery,60,Saraswati Fabrics
1,7669,766.9,266,266,Grocery,61,Saraswati Fabrics
1,940,94.0,292,292,Grocery,74,Saraswati Fabrics
1,4399,439.9,237,237,Grocery,76,Saraswati Fabrics
1,2589,258.9,287,287,Grocery,77,Saraswati Fabrics
1,329,32.9,270,243,Grocery,86,Saraswati Fabrics
2,710,71.0,243,243,Grocery,86,Saraswati Fabrics
1,4420,442.0,254,6,Grocery,95,Saraswati Fabrics
1,5582,558.2,111,111,Grocery,97,Saraswati Fabrics
1,1756,175.6,168,168,Grocery,100,Saraswati Fabrics
1,1530,153.0,269,269,Grocery,110,Saraswati Fabrics
1,1500,150.0,305,63,Grocery,112,Saraswati Fabrics
1,1717,171.7,276,276,Grocery,116,Saraswati Fabrics
1,1758,175.8,234,234,Grocery,124,Saraswati Fabrics
1,7113,711.3,201,201,Grocery,125,Saraswati Fabrics
1,1641,164.1,261,261,Grocery,133,Saraswati Fabrics
1,3776,377.6,91,91,Grocery,137,Saraswati Fabrics
1,1960,196.0,233,233,Grocery,143,Saraswati Fabrics
1,6384,638.4,302,79,Grocery,145,Saraswati Fabrics
2,6380,638.0,79,79,Grocery,145,Saraswati Fabrics
1,1320,132.0,300,300,Grocery,154,Saraswati Fabrics
1,1700,170.0,279,279,Grocery,155,Saraswati Fabrics
1,1985,198.5,73,73,Grocery,156,Saraswati Fabrics
1,5400,540.0,251,251,Grocery,161,Saraswati Fabrics
1,2126,212.6,292,292,Grocery,171,Saraswati Fabrics
1,833,83.3,296,296,Grocery,175,Saraswati Fabrics
1,925,92.5,307,307,Grocery,195,Saraswati Fabrics
1,28830,2883.0,260,260,Grocery,211,Saraswati Fabrics
1,2399,239.9,153,153,Grocery,215,Saraswati Fabrics
1,530,53.0,256,256,Grocery,222,Saraswati Fabrics
1,1920,192.0,224,224,Grocery,224,Saraswati Fabrics
1,3640,364.0,250,250,Grocery,231,Saraswati Fabrics
1,2228,222.8,136,136,Grocery,232,Saraswati Fabrics
1,1600,160.0,51,51,Grocery,243,Saraswati Fabrics
1,2078,207.8,244,244,Grocery,246,Saraswati Fabrics
1,1392,139.2,77,77,Grocery,249,Saraswati Fabrics
1,1542,154.2,156,156,Grocery,273,Saraswati Fabrics
1,1840,184.0,285,285,Grocery,276,Saraswati Fabrics
1,2290,229.0,188,188,Grocery,277,Saraswati Fabrics
1,4940,494.0,245,245,Grocery,285,Saraswati Fabrics
1,2100,210.0,264,264,Grocery,288,Saraswati Fabrics
1,5000,500.0,309,309,Grocery,302,Saraswati Fabrics
1,2745,274.5,164,164,Grocery,306,Saraswati Fabrics
1,1040,104.0,297,297,Grocery,309,Saraswati Fabrics
1,1537,153.7,57,57,Grocery,310,Saraswati Fabrics
1,1225,122.5,260,260,Grocery,326,Saraswati Fabrics
1,1683,168.3,265,265,Grocery,327,Saraswati Fabrics
1,1700,170.0,236,236,Grocery,330,Saraswati Fabrics
1,1636,163.6,126,126,Grocery,340,Saraswati Fabrics
1,11620,1162.0,76,60,Grocery,354,Saraswati Fabrics
2,1440,144.0,60,60,Grocery,354,Saraswati Fabrics
1,3940,394.0,225,225,Grocery,362,Saraswati Fabrics
1,1398,139.8,315,315,Grocery,369,Saraswati Fabrics
1,2320,232.0,285,58,Grocery,386,Saraswati Fabrics
1,2320,232.0,232,232,Grocery,391,Saraswati Fabrics
1,2846,284.6,55,55,Grocery,392,Saraswati Fabrics
1,5235,523.5,299,299,Grocery,398,Saraswati Fabrics
1,2620,262.0,102,102,Grocery,408,Saraswati Fabrics
1,1200,120.0,225,225,Grocery,413,Saraswati Fabrics
1,800,80.0,44,44,Grocery,430,Saraswati Fabrics
1,1463,146.3,281,281,Grocery,431,Saraswati Fabrics
1,3140,314.0,272,272,Grocery,435,Saraswati Fabrics
1,1180,118.0,144,144,Grocery,442,Saraswati Fabrics
1,1864,186.4,101,101,Grocery,449,Saraswati Fabrics
1,1060,106.0,145,145,Grocery,456,Saraswati Fabrics
1,2160,216.0,303,303,Grocery,457,Saraswati Fabrics
1,5000,500.0,233,233,Grocery,464,Saraswati Fabrics
1,18169,1816.9,127,127,Grocery,483,Saraswati Fabrics
1,1500,150.0,271,271,Grocery,489,Saraswati Fabrics
1,2780,278.0,138,40,Grocery,492,Saraswati Fabrics
1,900,90.0,261,261,Grocery,495,Saraswati Fabrics
1,792,79.2,299,299,Grocery,506,Saraswati Fabrics
1,1720,172.0,211,211,Grocery,507,Saraswati Fabrics
1,1380,138.0,155,20,Grocery,513,Saraswati Fabrics
2,2152,215.2,20,20,Grocery,513,Saraswati Fabrics
1,1975,197.5,271,271,Grocery,515,Saraswati Fabrics
1,960,96.0,261,261,Grocery,522,Saraswati Fabrics
1,10000,1000.0,176,20,Grocery,532,Saraswati Fabrics
2,8000,800.0,138,20,Grocery,532,Saraswati Fabrics
3,3000,300.0,138,20,Grocery,532,Saraswati Fabrics
4,7000,700.0,68,20,Grocery,532,Saraswati Fabrics
1,1710,171.0,308,308,Grocery,556,Saraswati Fabrics
1,1140,114.0,163,163,Grocery,562,Saraswati Fabrics
1,4470,447.0,193,45,Grocery,563,Saraswati Fabrics
1,2880,288.0,269,269,Grocery,565,Saraswati Fabrics
1,15017,1501.7,161,161,Grocery,572,Saraswati Fabrics
1,6602,660.2,235,235,Grocery,575,Saraswati Fabrics
1,3200,320.0,34,34,Grocery,578,Saraswati Fabrics
1,3340,334.0,125,125,Grocery,579,Saraswati Fabrics
1,2180,218.0,75,75,Grocery,600,Saraswati Fabrics
1,940,94.0,251,34,Grocery,606,Saraswati Fabrics
2,500,50.0,34,34,Grocery,606,Saraswati Fabrics
1,1170,117.0,223,223,Grocery,610,Saraswati Fabrics
1,2054,205.4,121,121,Grocery,613,Saraswati Fabrics
1,2138,213.8,256,256,Grocery,614,Saraswati Fabrics
1,1598,159.8,258,258,Grocery,616,Saraswati Fabrics
1,1096,109.6,264,264,Grocery,617,Saraswati Fabrics
1,1570,157.0,264,264,Grocery,618,Saraswati Fabrics
1,2980,298.0,274,118,Grocery,623,Saraswati Fabrics
1,676,67.6,298,211,Grocery,630,Saraswati Fabrics
2,400,40.0,211,211,Grocery,630,Saraswati Fabrics
1,1600,160.0,152,152,Grocery,631,Saraswati Fabrics
1,2978,297.8,121,121,Grocery,658,Saraswati Fabrics
1,2580,258.0,52,52,Grocery,659,Saraswati Fabrics
1,1240,124.0,303,303,Grocery,668,Saraswati Fabrics
1,2520,252.0,253,253,Grocery,681,Saraswati Fabrics
1,1570,157.0,292,292,Grocery,682,Saraswati Fabrics
1,4320,432.0,124,124,Grocery,692,Saraswati Fabrics
1,2976,297.6,258,258,Grocery,695,Saraswati Fabrics
1,3420,342.0,267,267,Grocery,703,Saraswati Fabrics
1,1709,170.9,74,74,Grocery,704,Saraswati Fabrics
1,23587,2358.7,78,78,Grocery,728,Saraswati Fabrics
1,400,40.0,266,34,Grocery,731,Saraswati Fabrics
2,1653,165.3,34,34,Grocery,731,Saraswati Fabrics
1,3800,380.0,245,245,Grocery,733,Saraswati Fabrics
1,1706,170.6,260,260,Grocery,737,Saraswati Fabrics
1,1820,182.0,216,216,Grocery,744,Saraswati Fabrics
1,1464,146.4,265,20,Grocery,755,Saraswati Fabrics
1,1090,109.0,258,258,Grocery,758,Saraswati Fabrics
1,26930,2693.0,255,20,Grocery,763,Saraswati Fabrics
2,25952,2595.2,46,20,Grocery,763,Saraswati Fabrics
1,1708,170.8,179,19,Grocery,765,Saraswati Fabrics
1,3200,320.0,213,213,Grocery,767,Saraswati Fabrics
1,1900,190.0,161,55,Grocery,782,Saraswati Fabrics
2,9000,900.0,55,55,Grocery,782,Saraswati Fabrics
1,4000,400.0,68,68,Grocery,793,Saraswati Fabrics
1,6621,662.1,298,18,Grocery,805,Saraswati Fabrics
2,3280,328.0,197,18,Grocery,805,Saraswati Fabrics
1,1943,194.3,169,169,Grocery,813,Saraswati Fabrics
1,1719,171.9,249,249,Grocery,827,Saraswati Fabrics
1,1340,134.0,193,193,Grocery,836,Saraswati Fabrics
1,1426,142.6,194,194,Grocery,838,Saraswati Fabrics
1,1000,100.0,252,240,Grocery,839,Saraswati Fabrics
2,1106,110.6,240,240,Grocery,839,Saraswati Fabrics
1,2900,290.0,104,104,Grocery,840,Saraswati Fabrics
1,340,34.0,200,197,Grocery,850,Saraswati Fabrics
2,60,6.0,197,197,Grocery,850,Saraswati Fabrics
1,3097,309.7,124,124,Grocery,851,Saraswati Fabrics
1,1754,175.4,166,166,Grocery,868,Saraswati Fabrics
1,1071,107.1,269,269,Grocery,869,Saraswati Fabrics
1,1236,123.6,270,20,Grocery,874,Saraswati Fabrics
2,463,46.3,154,20,Grocery,874,Saraswati Fabrics
1,4798,479.8,192,58,Grocery,877,Saraswati Fabrics
2,1880,188.0,58,58,Grocery,877,Saraswati Fabrics
1,940,94.0,143,143,Grocery,888,Saraswati Fabrics
1,1208,120.8,230,230,Grocery,892,Saraswati Fabrics
1,1868,186.8,46,46,Grocery,897,Saraswati Fabrics
1,2943,294.3,266,266,Grocery,905,Saraswati Fabrics
1,436,43.6,34,34,Grocery,913,Saraswati Fabrics
1,3100,310.0,78,78,Grocery,914,Saraswati Fabrics
1,1360,136.0,155,155,Grocery,927,Saraswati Fabrics
1,1150,115.0,250,250,Grocery,935,Saraswati Fabrics
1,1620,162.0,52,52,Grocery,943,Saraswati Fabrics
1,2897,289.7,31,31,Grocery,949,Saraswati Fabrics
1,10810,1081.0,257,257,Grocery,958,Saraswati Fabrics
1,1675,167.5,138,138,Grocery,980,Saraswati Fabrics
1,640,64.0,256,256,Grocery,982,Saraswati Fabrics
1,2000,200.0,96,96,Grocery,983,Saraswati Fabrics
2,891,89.1,96,96,Grocery,983,Saraswati Fabrics
1,2460,246.0,282,282,Grocery,992,Saraswati Fabrics
1,924,92.4,258,258,Grocery,994,Saraswati Fabrics
1,2117,211.7,7,7,Grocery,1004,Saraswati Fabrics
1,1772,177.2,256,256,Grocery,1009,Saraswati Fabrics
1,1000,100.0,275,275,Grocery,1010,Saraswati Fabrics
1,1560,156.0,135,135,Grocery,1023,Saraswati Fabrics
1,2320,232.0,55,55,Grocery,1024,Saraswati Fabrics
1,2977,297.7,40,40,Grocery,1028,Saraswati Fabrics
1,1915,191.5,148,148,Grocery,1046,Saraswati Fabrics
1,1253,125.3,279,279,Grocery,1051,Saraswati Fabrics
1,950,95.0,253,253,Grocery,1065,Saraswati Fabrics
1,1000,100.0,267,267,Grocery,1068,Saraswati Fabrics
1,2228,222.8,236,2,Grocery,1082,Saraswati Fabrics
1,3480,348.0,143,143,Grocery,1084,Saraswati Fabrics
1,517,51.7,261,261,Grocery,1085,Saraswati Fabrics
1,4275,427.5,118,118,Grocery,1087,Saraswati Fabrics
1,1940,194.0,227,227,Grocery,1097,Saraswati Fabrics
1,1758,175.8,258,258,Grocery,1106,Saraswati Fabrics
1,1656,165.6,35,35,Grocery,1119,Saraswati Fabrics
1,2083,208.3,304,304,Grocery,1126,Saraswati Fabrics
1,1905,190.5,165,165,Grocery,1135,Saraswati Fabrics
1,1625,162.5,113,113,Grocery,1146,Saraswati Fabrics
